Rabbit_ID,UTMX,UTMY,Date
561,487551,4633383,1/9/2009
561,487533,4633396,1/16/2009
561,487544,4633399,1/29/2009
561,487554,4633380,2/8/2009
561,487537,4633401,2/13/2009
561,487551,4633386,2/20/2009
561,487439,4633497,2/27/2009
561,487560,4633378,3/6/2009
561,487560,4633390,3/12/2009
561,487498,4633420,3/20/2009
561,487566,4633387,3/27/2009
561,487505,4633418,4/5/2009
561,487549,4633362,4/11/2009
561,487565,4633381,4/20/2009
561,487527,4633492,4/20/2009
522,482902,4627725,6/16/2008
522,482790,4627750,6/19/2008
522,483065,4627741,6/26/2008
522,482965,4627715,7/3/2008
522,482901,4627698,7/11/2008
522,482878,4627673,7/17/2008
522,482907,4627704,7/28/2008
522,482890,4627626,7/31/2008
522,482925,4627688,8/5/2008
522,482886,4627678,8/6/2008
522,482962,4627718,8/12/2008
522,482918,4627685,8/18/2008
522,482912,4627679,8/26/2008
522,482920,4627740,9/2/2008
522,482923,4627744,9/8/2008
522,482912,4627697,9/16/2008
522,482919,4627705,9/23/2008
522,482681,4627433,10/5/2008
522,483990,4629334,10/9/2008
522,484013,4629383,10/15/2008
522,483983,4629440,10/20/2008
522,483964,4629412,10/29/2008
581,486540,4629833,5/19/2008
581,486473,4629857,5/21/2008
581,486489,4629838,5/22/2008
581,486485,4629743,5/30/2008
581,486504,4629748,6/4/2008
581,486553,4629870,6/10/2008
581,486527,4629852,6/19/2008
581,486491,4629854,6/25/2008
581,486521,4629863,7/3/2008
581,486524,4629885,7/11/2008
581,486532,4629911,7/17/2008
581,486520,4629882,7/28/2008
581,486511,4629862,7/31/2008
581,486508,4629865,8/5/2008
581,486499,4629857,8/6/2008
581,486496,4629830,8/12/2008
581,486502,4629800,8/18/2008
581,486560,4629811,8/26/2008
581,486568,4629817,9/2/2008
581,486554,4629804,9/9/2008
581,486477,4629738,9/15/2008
581,486549,4629810,9/23/2008
581,486635,4629596,10/4/2008
581,486554,4629811,10/9/2008
581,486561,4629802,10/15/2008
581,486564,4629791,10/29/2008
581,486557,4629805,11/7/2008
581,486575,4629775,11/17/2008
581,486605,4629798,11/25/2008
581,486573,4629778,12/3/2008
581,486483,4629791,12/12/2008
581,486543,4629873,12/18/2008
581,486532,4629860,1/16/2009
581,486538,4629854,1/29/2009
581,486531,4629835,2/8/2009
581,486536,4629832,2/13/2009
581,486541,4629849,2/20/2009
581,486560,4629807,2/27/2009
581,486553,4629802,3/6/2009
588,483535,4627846,6/17/2008
588,483490,4627933,6/19/2008
588,483319,4627862,6/26/2008
588,483255,4627846,7/3/2008
588,483321,4627877,7/11/2008
588,483341,4627874,7/17/2008
588,483304,4627796,7/28/2008
588,483317,4627885,7/31/2008
588,483335,4627879,8/5/2008
588,483341,4627866,8/6/2008
588,483360,4627898,8/12/2008
588,483329,4627878,8/18/2008
588,483316,4627865,8/26/2008
588,483337,4627872,9/2/2008
588,483338,4627832,9/8/2008
588,483357,4627859,9/16/2008
588,483323,4627836,9/23/2008
588,483249,4627877,10/5/2008
588,483298,4627826,10/9/2008
588,483258,4627861,10/15/2008
588,483343,4627861,10/29/2008
588,483244,4627868,11/7/2008
588,483264,4627861,11/17/2008
588,483247,4627858,11/25/2008
588,483359,4627861,12/3/2008
588,483304,4627790,12/12/2008
588,483244,4627862,12/18/2008
588,483232,4627788,1/16/2009
588,483270,4627814,1/29/2009
567,487869,4633227,2/2/2008
567,487860,4633232,2/5/2008
567,487838,4633216,2/9/2008
567,487853,4633239,2/22/2008
567,487855,4633213,3/13/2008
567,487813,4633222,3/17/2008
567,487920,4633233,3/28/2008
567,487901,4633234,4/12/2008
567,487779,4633234,4/29/2008
567,487842,4633246,5/7/2008
567,487828,4633225,5/15/2008
567,487747,4633224,5/21/2008
567,487892,4633226,5/30/2008
567,487815,4633236,6/4/2008
567,487852,4633235,6/11/2008
567,487814,4633268,6/19/2008
567,487846,4633303,6/24/2008
567,487793,4633222,6/26/2008
567,487841,4633225,7/3/2008
567,487786,4633240,7/10/2008
567,487828,4633214,7/16/2008
567,487826,4633236,7/28/2008
567,487825,4633239,7/31/2008
567,487818,4633214,8/5/2008
567,487866,4633241,8/6/2008
567,487847,4633220,8/12/2008
567,487866,4633214,8/18/2008
567,487836,4633216,8/26/2008
567,487834,4633215,9/2/2008
567,487740,4633248,9/9/2008
567,487836,4633231,9/15/2008
567,487826,4633222,9/23/2008
567,487750,4633297,10/4/2008
567,487803,4633220,10/9/2008
567,487885,4633205,10/15/2008
567,487811,4633228,10/29/2008
567,487836,4633230,11/7/2008
567,487818,4633225,11/17/2008
567,487831,4633228,11/25/2008
567,487807,4633225,12/3/2008
567,487822,4633231,12/12/2008
567,487836,4633225,1/9/2009
567,487804,4633253,1/16/2009
567,487808,4633228,1/29/2009
567,487809,4633236,2/8/2009
567,487834,4633234,2/13/2009
567,487836,4633227,2/20/2009
567,488057,4633422,2/27/2009
567,487828,4633223,3/6/2009
567,488085,4633445,3/12/2009
567,487815,4633229,3/20/2009
567,487835,4633235,3/27/2009
567,488097,4633479,4/5/2009
535,485921,4632169,6/23/2008
535,485948,4632050,6/24/2008
535,485944,4632047,7/3/2008
535,485951,4632059,7/10/2008
535,485982,4632120,7/16/2008
535,485991,4632118,7/28/2008
535,485958,4632071,7/31/2008
535,486000,4632120,8/5/2008
535,486014,4632129,8/6/2008
535,485981,4632133,8/12/2008
535,485979,4632098,8/18/2008
535,485967,4632103,8/26/2008
535,485924,4632185,9/2/2008
535,485935,4632216,9/9/2008
535,485923,4632174,9/15/2008
535,485929,4632167,9/23/2008
535,485918,4632175,10/4/2008
535,485916,4632214,10/9/2008
535,485926,4632224,10/15/2008
535,485923,4632219,10/29/2008
535,485924,4632186,11/7/2008
535,485913,4632188,11/17/2008
535,485919,4632194,11/25/2008
535,485923,4632210,12/3/2008
535,485913,4631985,12/12/2008
535,485910,4632187,12/18/2008
535,485912,4632185,1/9/2009
535,485932,4632168,1/16/2009
535,485830,4632232,1/29/2009
577,484621,4627453,5/28/2008
577,484510,4627507,5/30/2008
577,484551,4627546,6/4/2008
577,484582,4627432,6/10/2008
577,484601,4627579,6/17/2008
577,484595,4627603,6/26/2008
577,484593,4627518,7/3/2008
577,484572,4627549,7/11/2008
577,484605,4627631,7/17/2008
577,484579,4627600,7/28/2008
577,484619,4627563,7/31/2008
577,484576,4627547,8/5/2008
577,484580,4627541,8/6/2008
577,484586,4627555,8/12/2008
577,484567,4627551,8/18/2008
577,484578,4627529,8/26/2008
577,484574,4627551,9/2/2008
577,484583,4627574,9/8/2008
577,484597,4627577,9/16/2008
577,484599,4627575,9/23/2008
577,484578,4627565,10/5/2008
577,484590,4627568,10/9/2008
577,484561,4627590,10/15/2008
577,484568,4627579,10/29/2008
577,484591,4627574,11/7/2008
577,484599,4627580,11/17/2008
577,484557,4627596,11/25/2008
577,484612,4627578,12/3/2008
577,484573,4627568,12/12/2008
577,484594,4627555,12/18/2008
577,484587,4627588,1/16/2009
577,485007,4627455,2/8/2009
577,485024,4627466,2/13/2009
577,485000,4627437,2/20/2009
577,484980,4627446,2/27/2009
577,485002,4627473,3/6/2009
577,485002,4627435,3/12/2009
577,484992,4627424,3/20/2009
577,484556,4627587,3/27/2009
577,484620,4627574,4/6/2009
577,484592,4627574,4/11/2009
501,486185,4630507,5/27/2008
501,486287,4630509,5/30/2008
501,486272,4630495,6/4/2008
501,486213,4630451,6/10/2008
501,486284,4630518,6/19/2008
501,486289,4630519,6/25/2008
501,486260,4630442,7/3/2008
501,486241,4630431,7/11/2008
501,486235,4630430,7/17/2008
501,486323,4630579,7/28/2008
501,486293,4630543,7/31/2008
501,486275,4630531,8/5/2008
501,486255,4630470,8/6/2008
501,486273,4630511,8/12/2008
501,486270,4630495,8/18/2008
501,486272,4630528,8/26/2008
501,486275,4630503,9/2/2008
501,486249,4630500,9/9/2008
501,486270,4630483,9/15/2008
501,486267,4630475,9/23/2008
501,486242,4630503,10/9/2008
501,486274,4630460,10/15/2008
501,486212,4630479,10/13/2008
586,484806,4628895,5/20/2008
586,484806,4628892,5/22/2008
586,484771,4628870,5/30/2008
586,484769,4628878,6/4/2008
586,484830,4629019,6/10/2008
586,485280,4629314,6/19/2008
586,485268,4629300,6/26/2008
586,485238,4629275,7/3/2008
586,485268,4629332,7/11/2008
586,484794,4628846,7/17/2008
586,484794,4628840,7/31/2008
586,484810,4628826,8/5/2008
586,485280,4629297,8/6/2008
586,484744,4628875,8/12/2008
586,484801,4628885,8/18/2008
586,484808,4628875,8/26/2008
586,484804,4628831,9/2/2008
586,484790,4628833,9/8/2008
586,484790,4628880,9/16/2008
586,484789,4628837,9/23/2008
586,484795,4628780,10/9/2008
586,484803,4628880,10/13/2008
586,484753,4628884,10/15/2008
586,484787,4628877,10/29/2008
500,485576,4628705,6/17/2008
500,485723,4628551,6/18/2008
500,485480,4629044,6/26/2008
500,485711,4628564,7/3/2008
500,485721,4628587,7/11/2008
500,485733,4628554,7/17/2008
500,485708,4628546,7/28/2008
500,485715,4628543,7/31/2008
500,485706,4628542,8/5/2008
500,485704,4628559,8/6/2008
500,485700,4628555,8/12/2008
500,485726,4628554,8/18/2008
500,485703,4628559,8/26/2008
500,485716,4628552,9/2/2008
500,485734,4628547,9/8/2008
500,485713,4628569,9/16/2008
500,485711,4628581,9/23/2008
500,485745,4628576,10/9/2008
500,485713,4628569,10/13/2008
500,485742,4628572,10/15/2008
500,485743,4628576,10/29/2008
500,485700,4628556,11/7/2008
500,485712,4628579,11/17/2008
500,485681,4628545,11/25/2008
500,485692,4628556,12/3/2008
500,485713,4628579,12/12/2008
500,485744,4628579,12/18/2008
500,485721,4628552,1/9/2009
500,485745,4628574,1/16/2009
500,485838,4628558,1/29/2009
500,485831,4628554,2/8/2009
500,485725,4628549,2/13/2009
500,485842,4628542,2/20/2009
500,485702,4628547,2/27/2009
500,485703,4628557,3/6/2009
500,485724,4628548,3/12/2009
500,485768,4628482,3/20/2009
500,485706,4628606,3/27/2009
500,485675,4628406,4/6/2009
500,485662,4628429,4/11/2009
500,485750,4628529,4/20/2009
345,486047,4633214,5/15/2008
345,486389,4633166,5/16/2008
345,486034,4633009,5/22/2008
345,485996,4633180,5/30/2008
345,485902,4632982,6/4/2008
345,486051,4633007,6/11/2008
345,486223,4633263,6/19/2008
345,486083,4633193,6/26/2008
345,486303,4633184,7/3/2008
345,486305,4633148,7/10/2008
345,486306,4633089,7/16/2008
345,486310,4633136,7/28/2008
345,486309,4633156,7/31/2008
345,486311,4633108,8/5/2008
345,486309,4633099,8/6/2008
345,486329,4633027,8/12/2008
345,486364,4633134,8/18/2008
345,486304,4633131,8/26/2008
345,486295,4633177,9/2/2008
345,486330,4633139,9/9/2008
345,486359,4633146,9/15/2008
345,486309,4633154,9/23/2008
345,486301,4633153,10/4/2008
345,486371,4633128,10/9/2008
345,486309,4633097,10/15/2008
345,486327,4633192,10/20/2008
512,485633,4626729,5/29/2008
512,485678,4626563,5/30/2008
512,485671,4626765,6/4/2008
512,485678,4626556,6/10/2008
512,485675,4626606,6/18/2008
512,485678,4626746,6/26/2008
512,485656,4626767,7/3/2008
512,485693,4626662,7/11/2008
512,485656,4626529,7/17/2008
512,485687,4626609,7/28/2008
512,485673,4626607,7/31/2008
512,485670,4626620,8/5/2008
512,485694,4626593,8/6/2008
512,485695,4626622,8/12/2008
512,485689,4626600,8/18/2008
512,485676,4626552,8/26/2008
512,485681,4626561,9/2/2008
512,485684,4626594,9/8/2008
512,485683,4626569,9/16/2008
512,485677,4626611,9/23/2008
512,485690,4626590,10/9/2008
512,485634,4626709,10/13/2008
